show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,has_director,has_country,date_added_parsed,year_added,month_added,day_added,day_of_week_added,is_weekend_add,duration_minutes,season_count,release_year_date,release_age_days,release_age_years,days_since_first_record,title_length,number_of_genres,number_of_countries
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,6/15/2018,2018,TV-Y,1 Season,Kids' TV,True,True,2018-06-15,2018,6,15,4,False,,1.0,2018-01-01,165,0.4517453798767967,3818,21,1,1
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,6/15/2018,2018,TV-Y,1 Season,Kids' TV,True,True,2018-06-15,2018,6,15,4,False,,1.0,2018-01-01,165,0.4517453798767967,3818,22,1,1
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,5/18/2018,2018,TV-Y,1 Season,Kids' TV,True,True,2018-05-18,2018,5,18,4,False,,1.0,2018-01-01,137,0.3750855578370979,3790,22,1,1
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,9/24/2021,2021,PG,91 min,Children & Family Movies,True,True,2021-09-24,2021,9,24,4,False,91.0,,2021-01-01,266,0.7282683093771389,5015,32,1,1
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,9/23/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",True,True,2021-09-23,2021,9,23,3,False,,1.0,2021-01-01,265,0.7255304585900069,5014,16,3,1
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,9/22/2021,2020,TV-MA,67 min,"Documentaries, International Movies",True,True,2021-09-22,2021,9,22,2,False,67.0,,2020-01-01,630,1.7248459958932238,5013,51,2,1
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,6/18/2019,2018,TV-Y,65 min,Children & Family Movies,True,True,2019-06-18,2019,6,18,1,False,65.0,,2018-01-01,533,1.45927446954141,4186,15,1,1
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,9/22/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",True,True,2021-09-22,2021,9,22,2,False,,1.0,2021-01-01,264,0.7227926078028748,5013,47,3,1
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,9/21/2021,2021,TV-Y,61 min,Children & Family Movies,True,True,2021-09-21,2021,9,21,1,False,61.0,,2021-01-01,263,0.7200547570157426,5012,44,1,1
s25,Movie,Jeans,S. Shankar,India,9/21/2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",True,True,2021-09-21,2021,9,21,1,False,166.0,,1998-01-01,8664,23.720739219712527,5012,5,3,1
s28,Movie,Grown Ups,Dennis Dugan,United States,9/20/2021,2010,PG-13,103 min,Comedies,True,True,2021-09-20,2021,9,20,0,False,103.0,,2010-01-01,4280,11.718001368925394,5011,9,1,1
s29,Movie,Dark Skies,Scott Stewart,United States,9/19/2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",True,True,2021-09-19,2021,9,19,6,True,97.0,,2013-01-01,3183,8.714579055441478,5010,10,2,1
s30,Movie,Paranoia,Robert Luketic,United States,9/19/2021,2013,PG-13,106 min,Thrillers,True,True,2021-09-19,2021,9,19,6,True,106.0,,2013-01-01,3183,8.714579055441478,5010,8,1,1
s20,TV Show,Jaguar,Not Given,Pakistan,9/22/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",True,True,2021-09-22,2021,9,22,2,False,,1.0,2021-01-01,264,0.7227926078028748,5013,6,3,1
s32,TV Show,Chicago Party Aunt,Not Given,Pakistan,9/17/2021,2021,TV-MA,1 Season,TV Comedies,True,True,2021-09-17,2021,9,17,4,False,,1.0,2021-01-01,259,0.7091033538672142,5008,18,1,1
s34,TV Show,Squid Game,Not Given,Pakistan,9/17/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",True,True,2021-09-17,2021,9,17,4,False,,1.0,2021-01-01,259,0.7091033538672142,5008,10,3,1
s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan,9/17/2021,2020,TV-Y7,1 Season,Kids' TV,True,True,2021-09-17,2021,9,17,4,False,,1.0,2020-01-01,625,1.7111567419575633,5008,23,1,1
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,9/14/2021,2021,TV-PG,2 Seasons,Reality TV,True,True,2021-09-14,2021,9,14,1,False,,2.0,2021-01-01,256,0.7008898015058179,5005,41,1,1
s84,TV Show,Metal Shop Masters,Not Given,Pakistan,9/10/2021,2021,TV-MA,1 Season,Reality TV,True,True,2021-09-10,2021,9,10,4,False,,1.0,2021-01-01,252,0.6899383983572895,5001,18,1,1
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,9/10/2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",True,True,2021-09-10,2021,9,10,4,False,,1.0,2021-01-01,252,0.6899383983572895,5001,35,2,1
s88,TV Show,Titipo Titipo,Not Given,Pakistan,9/10/2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",True,True,2021-09-10,2021,9,10,4,False,,2.0,2019-01-01,983,2.6913073237508556,5001,13,2,1
s90,TV Show,Mighty Raju,Not Given,Pakistan,9/9/2021,2017,TV-Y7,4 Seasons,Kids' TV,True,True,2021-09-09,2021,9,9,3,False,,4.0,2017-01-01,1712,4.687200547570157,5000,11,1,1
s101,TV Show,Tobot Galaxy Detectives,Not Given,Pakistan,9/7/2021,2019,TV-Y7,2 Seasons,Kids' TV,True,True,2021-09-07,2021,9,7,1,False,,2.0,2019-01-01,980,2.6830937713894594,4998,23,1,1
s122,TV Show,Hotel Del Luna,Not Given,Pakistan,9/2/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",True,True,2021-09-02,2021,9,2,3,False,,1.0,2019-01-01,975,2.6694045174537986,4993,14,3,1
s133,TV Show,Brave Animated Series,Not Given,Pakistan,9/1/2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",True,True,2021-09-01,2021,9,1,2,False,,1.0,2021-01-01,243,0.6652977412731006,4992,21,3,1
s148,TV Show,How to Be a Cowboy,Not Given,Pakistan,9/1/2021,2021,TV-PG,1 Season,Reality TV,True,True,2021-09-01,2021,9,1,2,False,,1.0,2021-01-01,243,0.6652977412731006,4992,18,1,1
s166,TV Show,Oldsters,Not Given,Pakistan,9/1/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",True,True,2021-09-01,2021,9,1,2,False,,1.0,2019-01-01,974,2.6666666666666665,4992,8,3,1
s190,TV Show,Bread Barbershop,Not Given,Pakistan,8/28/2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",True,True,2021-08-28,2021,8,28,5,True,,2.0,2020-01-01,605,1.6563997262149213,4988,16,2,1
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Given,Pakistan,9/1/2021,2021,TV-14,1 Season,Docuseries,True,True,2021-09-01,2021,9,1,2,False,,1.0,2021-01-01,243,0.6652977412731006,4992,41,1,1
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,8/29/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",True,True,2021-08-29,2021,8,29,6,True,,1.0,2021-01-01,240,0.6570841889117043,4989,20,3,1
s188,TV Show,The Ingenuity of the Househusband,Not Given,Pakistan,8/29/2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies",True,True,2021-08-29,2021,8,29,6,True,,1.0,2021-01-01,240,0.6570841889117043,4989,33,2,1
s27,Movie,Minsara Kanavu,Rajiv Menon,India,9/21/2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",True,True,2021-09-21,2021,9,21,1,False,147.0,,1997-01-01,9029,24.720054757015742,5012,14,3,1
s19,Movie,Intrusion,Adam Salky,Not Given,9/22/2021,2021,TV-14,94 min,Thrillers,True,True,2021-09-22,2021,9,22,2,False,94.0,,2021-01-01,264,0.7227926078028748,5013,9,1,1
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,9/21/2021,1996,TV-PG,161 min,"Comedies, International Movies",True,True,2021-09-21,2021,9,21,1,False,161.0,,1996-01-01,9395,25.72210814510609,5012,15,2,1
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,9/17/2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",True,True,2021-09-17,2021,9,17,4,False,111.0,,2021-01-01,259,0.7091033538672142,5008,15,3,1
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,9/17/2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",True,True,2021-09-17,2021,9,17,4,False,110.0,,2021-01-01,259,0.7091033538672142,5008,30,3,1
s37,Movie,The Stronghold,Cédric Jimenez,Not Given,9/17/2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",True,True,2021-09-17,2021,9,17,4,False,105.0,,2021-01-01,259,0.7091033538672142,5008,14,3,1
s39,Movie,Birth of the Dragon,George Nolfi,China,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas",True,True,2021-09-16,2021,9,16,3,False,96.0,,2017-01-01,1719,4.706365503080082,5007,19,2,1
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,9/16/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",True,True,2021-09-16,2021,9,16,3,False,,1.0,2020-01-01,624,1.7084188911704312,5007,21,3,1
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,9/14/2021,2021,TV-G,106 min,Children & Family Movies,True,True,2021-09-14,2021,9,14,1,False,106.0,,2021-01-01,256,0.7008898015058179,5005,22,1,1
s42,Movie,Jaws,Steven Spielberg,United States,9/16/2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",True,True,2021-09-16,2021,9,16,3,False,124.0,,1975-01-01,17060,46.70773442847365,5007,4,3,1
s43,Movie,Jaws 2,Jeannot Szwarc,United States,9/16/2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",True,True,2021-09-16,2021,9,16,3,False,116.0,,1978-01-01,15964,43.70704996577687,5007,6,3,1
s44,Movie,Jaws 3,Joe Alves,United States,9/16/2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",True,True,2021-09-16,2021,9,16,3,False,98.0,,1983-01-01,14138,38.70773442847365,5007,6,3,1
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,9/16/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",True,True,2021-09-16,2021,9,16,3,False,91.0,,1987-01-01,12677,34.70773442847365,5007,17,3,1
s47,Movie,Safe House,Daniel Espinosa,South Africa,9/16/2021,2012,R,115 min,Action & Adventure,True,True,2021-09-16,2021,9,16,3,False,115.0,,2012-01-01,3546,9.708418891170432,5007,10,1,1
s49,Movie,Training Day,Antoine Fuqua,United States,9/16/2021,2001,R,122 min,"Dramas, Thrillers",True,True,2021-09-16,2021,9,16,3,False,122.0,,2001-01-01,7563,20.706365503080082,5007,12,2,1
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,4/7/2021,2021,TV-PG,55 min,"Documentaries, Music & Musicals",True,True,2021-04-07,2021,4,7,2,False,55.0,,2021-01-01,96,0.26283367556468173,4845,33,2,1
s195,TV Show,Deadly Sins,Not Given,Pakistan,8/27/2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",True,True,2021-08-27,2021,8,27,4,False,,1.0,2002-01-01,7178,19.652292950034223,4987,11,3,1
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,9/15/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,99.0,,2002-01-01,7197,19.704312114989733,5006,57,3,1
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,9/15/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,99.0,,2003-01-01,6832,18.704996577686515,5006,50,3,1
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,9/15/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,88.0,,2004-01-01,6467,17.7056810403833,5006,47,3,1
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,9/15/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,100.0,,2001-01-01,7562,20.70362765229295,5006,51,3,1
s198,TV Show,I Heart Arlo,Not Given,Pakistan,8/27/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",True,True,2021-08-27,2021,8,27,4,False,,1.0,2021-01-01,238,0.6516084873374401,4987,12,2,1
s56,TV Show,Nailed It,Not Given,United States,9/15/2021,2021,TV-PG,6 Seasons,Reality TV,True,True,2021-09-15,2021,9,15,2,False,,6.0,2021-01-01,257,0.70362765229295,5006,9,1,1
s498,TV Show,Cat People,Not Given,Pakistan,7/7/2021,2021,TV-14,1 Season,Docuseries,True,True,2021-07-07,2021,7,7,2,False,,1.0,2021-01-01,187,0.5119780971937029,4936,10,1,1
s214,TV Show,RIDE ON TIME,Not Given,Pakistan,8/27/2021,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",True,True,2021-08-27,2021,8,27,4,False,,3.0,2021-01-01,238,0.6516084873374401,4987,12,2,1
s219,TV Show,Titletown High,Not Given,Pakistan,8/27/2021,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",True,True,2021-08-27,2021,8,27,4,False,,1.0,2021-01-01,238,0.6516084873374401,4987,14,2,1
s225,TV Show,Motel Makeover,Not Given,Pakistan,8/25/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV",True,True,2021-08-25,2021,8,25,2,False,,1.0,2021-01-01,236,0.6461327857631759,4985,14,2,1
s226,TV Show,Open Your Eyes,Not Given,Pakistan,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",True,True,2021-08-25,2021,8,25,2,False,,1.0,2021-01-01,236,0.6461327857631759,4985,14,3,1
s227,TV Show,Post Mortem: No One Dies in Skarnes,Not Given,Pakistan,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",True,True,2021-08-25,2021,8,25,2,False,,1.0,2021-01-01,236,0.6461327857631759,4985,35,3,1
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,9/16/2021,2021,PG,23 min,Documentaries,True,True,2021-09-16,2021,9,16,3,False,23.0,,2021-01-01,258,0.7063655030800822,5007,22,1,1
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,102.0,,2011-01-01,3910,10.704996577686517,5006,40,3,1
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,9/15/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,93.0,,2008-01-01,5006,13.705681040383299,5006,33,3,1
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,9/15/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,96.0,,2009-01-01,4640,12.70362765229295,5006,44,3,1
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,9/15/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,95.0,,2007-01-01,5371,14.704996577686517,5006,27,3,1
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,85.0,,2010-01-01,4275,11.704312114989733,5006,43,3,1
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,9/15/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,97.0,,2005-01-01,6101,16.70362765229295,5006,48,3,1
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,9/15/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,95.0,,2006-01-01,5736,15.704312114989733,5006,58,3,1
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,9/15/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",True,True,2021-09-15,2021,9,15,2,False,83.0,,2004-01-01,6467,17.7056810403833,5006,49,3,1
s243,TV Show,Comedy Premium League,Not Given,Pakistan,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",True,True,2021-08-20,2021,8,20,4,False,,1.0,2021-01-01,231,0.6324435318275154,4980,21,2,1
s244,TV Show,Everything Will Be Fine,Not Given,Pakistan,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",True,True,2021-08-20,2021,8,20,4,False,,1.0,2021-01-01,231,0.6324435318275154,4980,23,3,1
s246,TV Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan,8/20/2021,2021,TV-PG,1 Season,"Docuseries, International TV Shows",True,True,2021-08-20,2021,8,20,4,False,,1.0,2021-01-01,231,0.6324435318275154,4980,27,2,1
s249,TV Show,The Chair,Not Given,Pakistan,8/20/2021,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",True,True,2021-08-20,2021,8,20,4,False,,1.0,2021-01-01,231,0.6324435318275154,4980,9,2,1
s261,TV Show,The Defeated,Not Given,Pakistan,8/18/2021,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",True,True,2021-08-18,2021,8,18,2,False,,1.0,2020-01-01,595,1.6290212183436004,4978,12,3,1
s310,TV Show,Car Masters: Rust to Riches,Not Given,Pakistan,8/4/2021,2021,TV-PG,3 Seasons,Reality TV,True,True,2021-08-04,2021,8,4,2,False,,3.0,2021-01-01,215,0.5886379192334018,4964,27,1,1
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies",True,True,2021-09-14,2021,9,14,1,False,182.0,,2018-01-01,1352,3.701574264202601,5005,12,2,1
s321,TV Show,Top Secret UFO Projects: Declassified,Not Given,Pakistan,8/3/2021,2021,TV-PG,1 Season,Docuseries,True,True,2021-08-03,2021,8,3,1,False,,1.0,2021-01-01,214,0.5859000684462696,4963,37,1,1
s337,TV Show,Friday Night Lights,Not Given,Pakistan,8/1/2021,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",True,True,2021-08-01,2021,8,1,6,True,,5.0,2010-01-01,4230,11.58110882956879,4961,19,2,1
s365,TV Show,Centaurworld,Not Given,Pakistan,7/30/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",True,True,2021-07-30,2021,7,30,4,False,,1.0,2021-01-01,210,0.5749486652977412,4959,12,2,1
s369,TV Show,Khawatir,Not Given,Pakistan,7/30/2021,2009,TV-14,1 Season,"International TV Shows, Reality TV",True,True,2021-07-30,2021,7,30,4,False,,1.0,2009-01-01,4593,12.574948665297741,4959,8,2,1
s370,TV Show,Myth & Mogul: John DeLorean,Not Given,Pakistan,7/30/2021,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",True,True,2021-07-30,2021,7,30,4,False,,1.0,2021-01-01,210,0.5749486652977412,4959,27,3,1
s377,TV Show,Transformers: War for Cybertron: Kingdom,Not Given,Pakistan,7/29/2021,2021,TV-Y7,1 Season,Anime Series,True,True,2021-07-29,2021,7,29,3,False,,1.0,2021-01-01,209,0.5722108145106092,4958,40,1,1
s380,TV Show,Tattoo Redo,Not Given,Pakistan,7/28/2021,2021,TV-MA,1 Season,Reality TV,True,True,2021-07-28,2021,7,28,2,False,,1.0,2021-01-01,208,0.5694729637234771,4957,11,1,1
s382,TV Show,The Snitch Cartel: Origins,Not Given,Pakistan,7/28/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",True,True,2021-07-28,2021,7,28,2,False,,1.0,2021-01-01,208,0.5694729637234771,4957,26,3,1
s398,TV Show,Feels Like Ishq,Not Given,Pakistan,7/23/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",True,True,2021-07-23,2021,7,23,4,False,,1.0,2021-01-01,203,0.5557837097878165,4952,15,3,1
s483,TV Show,How to Become a Tyrant,Not Given,Pakistan,7/9/2021,2021,TV-MA,1 Season,Docuseries,True,True,2021-07-09,2021,7,9,4,False,,1.0,2021-01-01,189,0.5174537987679672,4938,22,1,1
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,9/10/2021,2021,R,106 min,Action & Adventure,True,True,2021-09-10,2021,9,10,4,False,106.0,,2021-01-01,252,0.6899383983572895,5001,4,1,1
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,9/10/2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",True,True,2021-09-10,2021,9,10,4,False,147.0,,2020-01-01,618,1.6919917864476386,5001,20,3,1
s87,Movie,Prey,Thomas Sieben,Germany,9/10/2021,2021,TV-MA,87 min,"International Movies, Thrillers",True,True,2021-09-10,2021,9,10,4,False,87.0,,2021-01-01,252,0.6899383983572895,5001,4,2,1
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Not Given,Pakistan,7/23/2021,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",True,True,2021-07-23,2021,7,23,4,False,,1.0,2021-01-01,203,0.5557837097878165,4952,62,2,1
s405,Movie,9to5: The Story of a Movement,Not Given,Pakistan,7/22/2021,2021,TV-MA,85 min,Documentaries,True,True,2021-07-22,2021,7,22,3,False,85.0,,2021-01-01,202,0.5530458590006845,4951,29,1,1
